Twitter Username,Tweet,Number of Hashtag
@kingjames,Appreciate the love!! That's so . Been a helluva ride up to this point. More to come! #Year20 https://t.co/WJNSi9YcXU,1
@kingjames,RT @nikebasketball: What happens when two basketball legacies collide? Greatness of course. Introducing the LeBron XX ‘Purple and Gold.’,0
@kingjames,Vs https://t.co/auGs2ktAeI,0
@kingjames,@D19J 12,0
@kingjames,RT @beatsbydre: Welcome to the family Bronny. #JamesGangXBeats @kingjames https://t.co/5EECRuhWiO,1
@kingjames,All in the family! @beatsbydre #JamesGang https://t.co/pGEP8G7t04,1
@kingjames,@jason_blum Jason you guys always kill it man! When I see “Blumhouse” come across the screen the wife and I both kn https://t.co/etTDIfhOnt,0
@kingjames,Halloween Ends was so GOOD!!!! @jamieleecurtis you're such a LEGEND &amp; BADASS #MichaelMyers,1
@kingjames,Hey @EAMaddenNFL when I get a pick why can't I choose to take the gang to the end zone with me??,0
@kingjames,@AstronautKI So GOOD so far G!!!,0
